name,rank,image
BOISSONS CHAUDES,1,boissonschaudes.jpg
BOISSONS FRAICHES,2,boissonsfraiches.jpg
PETIT DÉJEUNER,3,petitdejeuner.jpg
AMUSES BOUCHES,4,amusesbouches.jpg
SALADES,5,salades.jpg
LES POISSONS ET FRUITS DE MER,6,lespoissonsetfruitsdemer.jpg
PATES FRAICHES,7,patesfraiches.jpg
VIANDES,8,viandes.jpg
POULETS,9,poulets.jpg
ACCOMPAGNEMENTS,10,accompagnements.jpg
AUTRES PLATS,11,autresplats.jpg
AUTRES,12,autres.jpg
COCKTAILS SANS ALCOOL,13,cocktailssansalcool.jpg
COCKTAILS,14,cocktail.jpg
DIGESTIFS,15,digestifs.jpg
DESSERTS,16,desserts.jpg
VINS BLANCS,17,vinsblancscepagesoriginairesdelamoselle.jpg
VINS ROSÉS,18,vinsroses.jpg
VINS ROUGES,19,vinsrouges.jpg
VINS MOUSSEUX,20,vinsmosseux.jpg
