name,price,category,availability,rank,global,image,isDrink
THÉ,3000,BOISSONS CHAUDES,1,1,1,tea.jpg,0
THÉ AU GINGEMBRE,3500,BOISSONS CHAUDES,1,2,2,gingertea.jpg,0
CAFÉ,3500,BOISSONS CHAUDES,1,3,3,cafe.jpeg,0
EXPRESSO,3000,BOISSONS CHAUDES,1,4,4,expresso.jpg,0
CHOCOLAT CHAUD,7000,BOISSONS CHAUDES,1,5,5,chocolatchaud.jpeg,0
THÉ MAROCAIN,3500,BOISSONS CHAUDES,1,6,6,themarocain.jpg,0
THÉ VERT,3500,BOISSONS CHAUDES,1,7,7,thevert.jpg,0
AFRICAN TEE,3500,BOISSONS CHAUDES,1,8,8,africantee.png,0
EAU PLATE,2000,BOISSONS FRAICHES,1,1,9,eauplate.jpg,1
EAU PÉTILLANTE,2000,BOISSONS FRAICHES,1,2,10,eaupetillante.jpeg,1
FANTA,2000,BOISSONS FRAICHES,1,3,11,fanta.jpg,1
FRUITO (Passions et Ananas),2500,BOISSONS FRAICHES,1,4,12,passion.jpg,1
VIVA,2000,BOISSONS FRAICHES,1,5,13,viva.jpeg,1
ROYAL,5000,BOISSONS FRAICHES,1,6,14,royal.jpg,1
LEFFE,11000,BOISSONS FRAICHES,1,7,15,leffe.jpg,1
HEINEKEN,6000,BOISSONS FRAICHES,1,8,16,heineken.jpg,1
WINDHOEK,6000,BOISSONS FRAICHES,1,9,17,windhoek.png,1
SOUPE DE POULET LÉGUMES,12000,PETIT DÉJEUNER,1,1,18,soupedepouletlegume.jpg,0
SOUPE DE LÉGUMES SIMPLE,10000,PETIT DÉJEUNER,1,2,19,soupedelegume.jpg,0
SOUPE DE RÉPARATION (Boeuf Légumes),14000,PETIT DÉJEUNER,1,3,20,soupeboeuflegume.jpg,0
SOUPE ITALIENNE,12000,PETIT DÉJEUNER,1,4,21,soupeitalienne.jpg,0
OMELETTE JAMBON FROMAGE,7000,PETIT DÉJEUNER,1,5,22,omelettejambonfromage.jpg,0
OMELETTE SPÉCIALE(Jambon Fromage Frites Oignon Tomates Sauce Provençale),14000,PETIT DÉJEUNER,1,6,23,omelettespeciale.jpg,0
OMELETTE ESPAGNOLE,14000,PETIT DÉJEUNER,1,7,24,omeletteespagnole.jpg,0
OEUF SUR LE PLAT,7000,PETIT DÉJEUNER,1,8,25,oeufsurleplat.jpg,0
SOUPE DE BROCOLIS,12000,PETIT DÉJEUNER,1,9,26,soupedebrocolis.jpg,0
SOUPE DE CAROTTES,10000,PETIT DÉJEUNER,1,10,27,soupedecarotte.jpg,0
SANDWICH JAMBON FROMAGE,12000,PETIT DÉJEUNER,1,11,28,sandwichjambonfromage.jpg,0
CROQUE MONSIEUR,9500,PETIT DÉJEUNER,1,1,29,croquemonsieur.jpg,0
FROMAGE DE CHÈVRE ENROULÉ DANS SON LARDON CARAMÉLISÉ AU MIEL,12000,AMUSES BOUCHES,1,2,30,fromagedechevre.jpeg,0
TRANCHE DE BAGUETTE AU PESTO FAÇON VINOTHÈQUE,9500,AMUSES BOUCHES,1,3,31,tranchedebaguetteaupesto.jpg,0
MINI BROCHETTEES DE FILET DE BOEUF,20000,AMUSES BOUCHES,1,4,32,minibrochetteaufiletdeboeuf.jpeg,0
TOAST DE CAPITAINE FUMÉ SUR PAIN,18000,AMUSES BOUCHES,1,5,33,toastdecaptaine.jpeg,0
MINI BROCHETTE DE POULET,21000,AMUSES BOUCHES,1,6,34,minibrochetteaupoulet.jpeg,0
SALADE MIXTE FROMAGE DE CHÈVRE AVEC SES CUBES DE MANGUE,21000,SALADES,1,1,35,salademixteaufromagedechevre.jpeg,0
SALADE MIXTE,14000,SALADES,1,2,36,salademixte.jpeg,0
SALADE MIXTE AVEC SON BLANC DE POULET SAUTÉ ET LARDON CARAMÉLISÉ,23500,SALADES,1,3,37,salademixteaublancdepouletaveclardon.jpeg,0
TRANCHE DE MOZZARELLA SUR TOMATES AVEC DU VINAIGRE BALSAMIAUE,14000,SALADES,1,4,38,tranchedemozarellasurtomate.jpeg,0
SANGALA EN BÂTONNET AUX POIREAUX,23500,LES POISSONS ET FRUITS DE MER,1,1,39,sangalabatonnetauxpoireaux.jpeg,0
SANGALA AU CURRY,23500,LES POISSONS ET FRUITS DE MER,1,2,40,sangalaaucurry.jpeg,0
SANGALA MEUNIÈRE,21000,LES POISSONS ET FRUITS DE MER,1,3,41,sangalamenuiere.jpeg,0
SANGALA GRATINÉ AUX ÉPINARDS,29500,LES POISSONS ET FRUITS DE MER,1,4,42,sangalagratineeauxepinards.jpeg,0
SANGALA VINOTHÈQUE(Gingembre Ail),23500,LES POISSONS ET FRUITS DE MER,1,5,43,sangalavinotheque.jpeg,0
SANGALA AU VIN BLANC ET SES LÉGUMES,27000,LES POISSONS ET FRUITS DE MER,1,6,44,sangalaauvinblanc.jpeg,0
SANGALA À L'ORANGE,26000,LES POISSONS ET FRUITS DE MER,1,7,45,sangalaalorange.jpeg,0
SANGALA TAPISSÉ,26000,LES POISSONS ET FRUITS DE MER,1,8,46,sangalatapisse.jpeg,0
SANGALA EN CUBE AU LAIT DE COCO,29500,LES POISSONS ET FRUITS DE MER,1,9,47,sangalaencubeaulaitdecoco.jpeg,0
SANGALA CRÈME CHAMPIGNON,26000,LES POISSONS ET FRUITS DE MER,1,10,48,sangalacremeauxchampignons.jpeg,0
CREVETTES SAUTÉES AU BEURRE ET À L'AIL,30000,LES POISSONS ET FRUITS DE MER,1,11,49,crevettessauteesaubeurreetalail.jpeg,0
MUKEKE ENTIER,31000,LES POISSONS ET FRUITS DE MER,1,12,50,mukekeentier.jpeg,0
CROQUETTE POISSON,23500,LES POISSONS ET FRUITS DE MER,1,13,51,croquettepoisson.jpeg,0
CALAMAR,35000,LES POISSONS ET FRUITS DE MER,1,14,52,calamar.jpeg,0
GAMBAS MOYEN(4 PCES),35000,LES POISSONS ET FRUITS DE MER,1,15,53,gambasmoyen.jpeg,0
TAGLIATELLE EMINC DE BOEUF AVEC CHAMPIGNON,23500,PATES FRAICHES,1,1,54,tagliatelleavecchampignon.jpeg,0
TAGLIATELLE ÉMINCÉ DE POULET AVEC CHAMPIGNON,23500,PATES FRAICHES,1,2,55,tagliatelleemincedepouletavecchampignon.jpeg,0
TAGLIATELLE AVEC PESTO,20000,PATES FRAICHES,1,3,56,tagliatelleemincedepouletauxchampignons.jpeg,0
TAGLIATELLE ÉMINCÉ DE BOEUF FROMAGE DE CHÈVRE,26000,PATES FRAICHES,1,4,57,tagliatelleemincedeboeuffromagedechevre.jpeg,0
